"track_id","track_name","duration","explicit"
"7K7MUBCnzgBAvMVW2RTWNs","Body (feat. brando)","163216","0"
"4TnFANpjVwVKWzkxNzIyFH","Ne reviens pas","188613","1"
"5cYOVkA2cnjKid9yigaMwq","Hoe Het Danst","252923","0"
"7rBP4bLjMLNkix1nGHjheP","Oui ou non","196800","0"
"2QpUWi6VSNOt2WyH5FIeLD","Pookie","180840","0"
"5BfCoUcWNXcpyJfjXRIeyC","Moulaga","179868","1"
"5S7YAM3lcfPNBSTVyciwCu","Reünie","172062","0"
"2oT2g4vkjRaFOcUtdOf9eg","God Bless (feat. Damso)","161743","1"
"0U6bQIAh6MCGo1xjbIIx2S","Instagram","184558","1"
"5ucCPnp8gVYluxSXiy4J5d","Sun is Shining","189243","0"
"18HNGxDOcshRU2Hdu8tMOM","POPOPOP","155632","1"
"5WHTFyqSii0lmT9R21abT8","Don't Call Me Up","178480","0"
"430efk5Jc5wGay4EWP4snS","Baianá","182186","0"
"0bYg9bo50gSsH3LtXe2SQn","All I Want for Christmas Is You","241106","0"
"3D9MKbMaHCZjSEcCWf4wDm","Lippenstift","197052","0"
"47LFcy7prvEY5D08d26zOo","40%","174933","0"
"2jX5c5RFp0A9E1GDsvGxIa","Balance ton quoi","189480","0"
"3M9Apu4OZfylLTFKvgEtKa","Ritual","198995","0"
"06O3hxudc6V0BOuoCFSy71","Tout oublier","202120","0"
"6wo37KVqFJhtuxPTpLCcfe","Takeaway (feat. Lennon Stella)","209893","0"
"3b89BehicGUgc60pLBo092","Flou","196920","0"
"3cphb8kdsjElYR7r5icK3H","Nice To Meet Ya","158805","0"
"1bWafkUCOp6luXRs1cm3w9","HÉ OH","178416","1"
"2374M0fQpWi3dLnB54qaLX","Africa","295893","0"
"4u7EnebtmKWzUH433cf5Qv","Bohemian Rhapsody - Remastered 2011","354320","0"
"2FRnf9qhLbvw8fu4IBXx78","Last Christmas","262960","0"
"7pWK1kMgHy5lNNiIfuRbkP","Used To Love (with Dean Lewis)","236764","0"
"7sKDftgGirHWTVFMtJoDoh","Djadja","171133","0"
"2x0RZdkZcD8QRI53XT4GI5","SOS (feat. Aloe Blacc)","157202","0"
"4SSnFejRGlZikf02HLewEF","bury a friend","193143","0"
"5T8EDUDqKcs6OSOwEsfqG7","Don't Stop Me Now - Remastered 2011","209413","0"
"3ciQQMSy1lKDqJbwU9l1LT","Als Het Avond Is","205714","0"
"1Sb7QJRawbARgpMqyYNMkT","Distant","162013","1"
"5itOtNx0WxtJmi1TQ3RuRd","Giant (with Rag'n'Bone Man)","229184","0"
